State,year,Business,Holiday,Other,Visiting,Total_Trips
ACT,1998,481.3948846,604.140999,94.5573815,672.7617353,1852.8550004
ACT,1999,592.3951572,628.0265662,80.844788,679.211085,1980.4775964
ACT,2000,613.6926217,581.8624057,148.550591,747.0918229,2091.1974413
ACT,2001,519.6329844,710.0094104,81.4831898,777.7680113,2088.8935959
ACT,2002,625.8643838,602.7649721,102.5340326,642.6326188,1973.7960073000002
ACT,2003,485.5537236,552.7712671,107.0438062,799.3072001,1944.675997
ACT,2004,499.2819712,493.6769628,148.8886576,739.2557949,1881.1033865
ACT,2005,639.4349049,503.5075496,85.8765747,758.466904,1987.2859331999998
ACT,2006,547.98206,526.45166,91.177074,727.177893,1892.788687
ACT,2007,639.1520682,482.412362,105.1641461,728.5439685,1955.2725448
ACT,2008,588.3757444,554.0118116,132.0846432,681.7610815,1956.2332807000003
ACT,2009,492.9559648,527.7586518,97.3020428,609.2529141,1727.2695735
ACT,2010,538.2654216,769.391121,118.3861712,654.6232913,2080.6660051
ACT,2011,544.9438422,519.7489942,117.2551307,617.4395517,1799.3875188
ACT,2012,618.1387293,462.4398744,98.2526428,758.4780448,1937.3092913
ACT,2013,583.1984817,642.0414234,103.65994,707.2828182,2036.1826633
ACT,2014,512.8450564,568.0714373,115.9373122,760.077692,1956.9314979
ACT,2015,655.9758768,552.5130269,174.2063895,812.2994987,2194.9947918999997
ACT,2016,754.8473044,732.627117,175.2399158,796.1860267,2458.9003639000002
New South Wales,1998,5280.587048,13058.40198,1063.893875,9832.943855,29235.826758000003
New South Wales,1999,5410.605923,12480.98549,1075.750118,9530.918101,28498.259631999998
New South Wales,2000,5227.085915,12598.91507,1126.099507,8938.792085,27890.892577
New South Wales,2001,5675.472236,12003.04052,1126.861587,9393.670705,28199.045048
New South Wales,2002,5618.564433,12440.45876,1156.708318,10290.6741,29506.405611000002
New South Wales,2003,5344.405875,11955.76073,989.9926418,10319.37848,28609.537726799997
New South Wales,2004,4903.226335,11643.02004,916.4462302,10365.83167,27828.524275199998
New South Wales,2005,4420.648405,10936.85276,1109.145683,9079.852322,25546.499170000003
New South Wales,2006,4347.148562,11358.77439,1000.191432,9855.476803,26561.591186999998
New South Wales,2007,4377.947369,11275.51771,1089.216453,9131.686176,25874.367708
New South Wales,2008,4428.40115,11618.78334,925.8089334,8958.686581,25931.680004399997
New South Wales,2009,4060.604835,11032.88989,990.5688237,8440.563362,24524.6269107
New South Wales,2010,4044.972515,11493.97582,1153.863771,8858.525234,25551.33734
New South Wales,2011,4797.25079,11261.45393,1185.807126,9330.330683,26574.842529
New South Wales,2012,4399.394553,11308.64748,1047.66185,9962.375416,26718.079298999997
New South Wales,2013,4579.899274,11784.49975,1233.395793,9926.879214,27524.674031000002
New South Wales,2014,4983.539268,11529.72759,1314.237643,10941.87469,28769.379191000004
New South Wales,2015,5578.684956,12012.77018,1474.951745,11016.69512,30083.102001
New South Wales,2016,5611.21637,13021.3989,1655.409087,11096.42307,31384.447427000003
Northern Territory,1998,1223.829172,3409.780313,175.8202041,1407.911572,6217.3412611
Northern Territory,1999,1321.179521,3123.24974,260.6535768,1227.75929,5932.8421278000005
Northern Territory,2000,1269.66595,3225.125509,222.7024033,1204.444806,5921.938668299999
Northern Territory,2001,1153.202826,3047.624314,251.4012598,1177.888347,5630.1167468
Northern Territory,2002,1315.011749,3081.504573,237.3923532,1169.845388,5803.7540632
Northern Territory,2003,1175.85596,3146.277771,218.541579,1573.989702,6114.6650119999995
Northern Territory,2004,1426.580718,3394.021437,179.7771636,1643.720697,6644.100015599999
Northern Territory,2005,1194.433179,3131.370399,222.4559299,1432.036715,5980.2962229
Northern Territory,2006,1107.462382,3368.719436,275.269518,1383.348482,6134.799818
Northern Territory,2007,1193.969148,3669.717661,229.6942648,1390.819955,6484.2010288
Northern Territory,2008,1251.402091,3255.494342,178.4465731,1272.822784,5958.1657901
Northern Territory,2009,1092.241826,3325.015935,171.666899,1290.077564,5879.002224
Northern Territory,2010,1069.454302,3306.028388,247.9173775,1126.304836,5749.704903500001
Northern Territory,2011,1061.889037,3018.141436,242.3293401,1298.768891,5621.1287041
Northern Territory,2012,1121.626371,3118.962404,225.4641523,1389.595263,5855.6481903
Northern Territory,2013,1035.411763,3199.687249,195.5222542,1390.976637,5821.5979032000005
Northern Territory,2014,1155.713399,3297.442974,257.3904529,1612.292222,6322.8390479
Northern Territory,2015,1406.973426,3924.403924,284.853733,1895.876171,7512.1072540000005
Northern Territory,2016,1492.678826,3862.377952,301.9405278,1717.768171,7374.7654768
Queensland,1998,3264.453709,7834.006235,525.2665196,5192.444396,16816.1708596
Queensland,1999,3878.314387,8643.371076,828.8313975,5166.535805,18517.0526655
Queensland,2000,3500.014623,8469.738433,723.9649715,5280.249339,17973.9673665
Queensland,2001,3384.274417,8514.578414,942.4856556,5394.880787,18236.2192736
Queensland,2002,3475.883368,8701.516762,811.7283109,5702.515137,18691.6435779
Queensland,2003,2888.4617,8557.529661,646.1650754,6325.611123,18417.7675594
Queensland,2004,3405.741569,8481.968214,795.4003794,6444.928382,19128.0385444
Queensland,2005,3309.241377,8051.07834,865.9949402,6094.891359,18321.2060162
Queensland,2006,3423.629123,8681.347187,717.049142,5989.524154,18811.549606
Queensland,2007,3836.358695,8856.72044,807.8172328,6429.797501,19930.6938688
Queensland,2008,3373.90379,8662.99429,680.3338527,5973.684261,18690.916193700003
Queensland,2009,2947.174321,8368.113854,726.0579652,5567.374948,17608.7210882
Queensland,2010,3690.477418,8271.212391,963.4231072,5781.208602,18706.3215182
Queensland,2011,3688.546713,7993.7475,905.4114737,6114.470461,18702.1761477
Queensland,2012,3405.102962,8445.139756,1056.198814,6746.524652,19652.966184
Queensland,2013,3472.273094,8362.109232,908.0567298,6511.311499,19253.7505548
Queensland,2014,4168.144589,7990.17349,1013.4332,6779.210218,19950.961497
Queensland,2015,4829.126085,8282.920333,1156.106373,7267.820835,21535.973626
Queensland,2016,4649.91638,9109.65488,1199.412639,7627.95082,22586.934719
South Australia,1998,1012.252233,2792.761827,252.9348033,1732.118397,5790.0672603
South Australia,1999,1048.215587,2794.949708,228.47013,1767.299031,5838.934456
South Australia,2000,1424.851746,2847.000681,310.1696566,1761.820536,6343.8426196
South Australia,2001,1094.082805,2661.517725,300.8542358,1808.558521,5865.0132868
South Australia,2002,1268.471108,2607.292057,262.3732713,1869.511325,6007.647761300001
South Australia,2003,1249.856572,2428.179669,279.816419,1867.99118,5825.84384
South Australia,2004,1254.106963,2659.397589,309.6595171,2047.284426,6270.4484951
South Australia,2005,944.5094687,2413.292078,303.1815989,1690.778724,5351.7618696
South Australia,2006,1024.296061,2692.615714,304.565596,1742.992133,5764.469504
South Australia,2007,1131.09703,2660.736466,292.9045326,1831.351554,5916.0895826
South Australia,2008,1085.445613,2515.345841,234.1059658,1746.477173,5581.3745928
South Australia,2009,1004.377722,2504.933195,281.7655148,1681.598846,5472.6752778
South Australia,2010,910.1687069,2413.592977,293.1543735,1521.219132,5138.1351894
South Australia,2011,1050.031456,2559.051106,325.8422958,1670.005688,5604.9305458
South Australia,2012,1097.48816,2512.499198,326.7163269,1637.612994,5574.316678900001
South Australia,2013,968.7148157,2567.098241,384.2641151,1725.041972,5645.1191438000005
South Australia,2014,1033.759963,2429.419342,329.6190934,1892.120121,5684.9185194
South Australia,2015,1194.048349,2816.930451,355.1363525,2028.567722,6394.682874499999
South Australia,2016,1366.659067,2806.079307,460.1510026,2074.78984,6707.6792166
Victoria,1998,3140.49493,9363.592086,521.8960452,6771.362472,19797.3455332
Victoria,1999,2792.256702,8697.806794,597.0148873,5763.99023,17851.0686133
Victoria,2000,3384.584413,8650.829314,725.3543807,6217.562692,18978.3307997
Victoria,2001,3089.709854,8973.186142,782.4310092,6161.270692,19006.5976972
Victoria,2002,3027.958967,8589.804851,757.2254781,6652.683251,19027.672547100003
Victoria,2003,3111.836702,8558.954284,570.1692251,7033.131242,19274.0914531
Victoria,2004,3102.503723,8394.176397,709.3954678,6871.044081,19077.119668799998
Victoria,2005,2875.195267,7968.114408,747.9900547,6006.237412,17597.5371417
Victoria,2006,2837.40822,8519.61258,735.011888,6522.176086,18614.208774
Victoria,2007,2989.115287,8664.723457,680.9604121,6264.16759,18598.9667461
Victoria,2008,2760.789516,8806.650052,578.6256474,6050.875693,18196.9409084
Victoria,2009,2762.131014,8189.477846,712.9162862,5760.039455,17424.5646012
Victoria,2010,2742.715893,8289.538025,665.5277775,5745.63507,17443.4167655
Victoria,2011,3041.206153,8801.299759,729.6129843,6150.302633,18722.4215293
Victoria,2012,3040.306425,8894.02454,714.1374658,6453.058164,19101.5265948
Victoria,2013,3052.687855,8947.253232,702.2371838,6745.15609,19447.3343608
Victoria,2014,3639.521807,9370.31005,998.8381317,7657.14987,21665.8198587
Victoria,2015,3875.660102,9970.008989,1092.056239,7850.82961,22788.554939999998
Victoria,2016,3807.561255,10352.66114,1169.492723,7914.699136,23244.414254
Western Australia,1998,1488.354948,3060.978192,246.041828,1850.051743,6645.426711
Western Australia,1999,1365.463228,3308.683308,345.7629891,1897.059904,6916.9694291
Western Australia,2000,1305.745092,3197.524929,352.7510701,1876.410819,6732.4319101
Western Australia,2001,1757.752804,3021.95553,311.2895848,1990.613605,7081.6115238
Western Australia,2002,1584.677463,3075.503722,431.7852651,2168.264838,7260.2312881
Western Australia,2003,1411.768685,3048.239719,336.6923135,2176.250213,6972.950930499999
Western Australia,2004,1374.200336,3126.038312,342.2409468,2176.466292,7018.9458868
Western Australia,2005,1333.411089,2736.833419,317.8320755,2030.674084,6418.7506675
Western Australia,2006,1529.352754,3103.146578,355.68093,2182.422884,7170.6031459999995
Western Australia,2007,1562.450924,3102.207019,353.5594986,1960.27185,6978.4892916
Western Australia,2008,1392.70547,2945.060062,283.6873414,1810.442164,6431.895037400001
Western Australia,2009,1161.581992,2543.618192,275.3330129,1780.899774,5761.432970899999
Western Australia,2010,1247.228139,2432.823857,335.4838193,1515.14666,5530.6824753
Western Australia,2011,1393.303056,2658.795488,363.022504,1762.206367,6177.327415000001
Western Australia,2012,1553.283522,2778.940364,303.2475182,2018.522124,6653.9935282
Western Australia,2013,1568.830548,3033.432607,363.3598312,2074.65292,7040.2759062000005
Western Australia,2014,2172.249082,3009.159359,443.3223146,2536.238728,8160.9694836
Western Australia,2015,2555.686876,3400.206993,446.9494905,2478.548885,8881.392244499999
Western Australia,2016,2801.290407,4001.54851,510.2389798,2927.096396,10240.1742928
